path_id,product_id,path,note
1,1001,nersc:/project/projectdirs/sobs/v4_sims/mbs/201901_gaussian_fg_lensed_cmb_realistic_noise,
2,1002,nersc:/project/projectdirs/sobs/v4_sims/mbs/201903_highres_foregrounds,
3,1003,nersc:/project/projectdirs/sobs/v4_sims/mbs/201904_highres_foregrounds_equatorial,
4,1004,nersc:/project/projectdirs/sobs/v4_sims/mbs/201904_highres_foregrounds_variable_spectral_index,
5,1005,nersc:/project/projectdirs/sobs/v4_sims/mbs/201905_extragalactic,
6,1006,nersc:/project/projectdirs/sobs/v4_sims/mbs/201906_highres_foregrounds_extragalactic_tophat,
7,1007,nersc:/project/projectdirs/sobs/v4_sims/mbs/201906_noise_no_lowell,
8,1008,nersc:/project/projectdirs/sobs/v4_sims/mbs/201909_highres_foregrounds_extragalactic_planck_deltabandpass,
9,1009,nersc:/project/projectdirs/sobs/v4_sims/mbs/201911_lensed_cmb,
10,1010,nersc:/project/projectdirs/sobs/v4_sims/mbs/202002_noise,
